toimipaikka_oid,nimi,nimi_sv,varhaiskasvatuspaikat,jarjestamismuoto_koodi,kasvatusopillinen_jarjestelma_koodi,toimipaikka_kayntiosoite,toimipaikka_kayntiosoite_postinumero,toimipaikka_kayntiosoite_postitoimipaikka,toimintamuoto_koodi,varda_toiminnallinenpainotus.toimintapainotus_kytkin,tp01_musiikki,tp02_liikunta,tp03_kuvataide,tp04_tiede,tp05_draama,tp06_ymparisto_ja_luonto,tp07_seikkailu,tp08_media,tp09_maailmankatsomuksellinen,tp99_muu,kielipainotus_kytkin,kielipainotus_fi,kielipainotus_sv,kielipainotus_en,kielipainotus_muu,alkamis_pvm,paattymis_pvm,jarjestaja_oid,jarjestaja_nimi,jarjestaja_y_tunnus,jarjestaja_yritysmuoto,jarjestaja_ytjkieli,jarjestaja_kayntiosoite,jarjestaja_kayntiosoite_postinumero,jarjestaja_kayntiosoite_postitoimipaikka,jarjestaja_alkamis_pvm,jarjestaja_paattymis_pvm
1.2.246.562.10.25416724406,HUHMARNUMMEN PÄIVÄKOTI,HUHMARNUMMEN PÄIVÄKOTI,58,['jm01'],kj98,PIHTISILLANTIE 303,03150,HUHMARI,tm01,False,0,0,0,0,1,0,0,0,0,0,False,1,0,0,,2006-08-01,,1.2.246.562.10.35911951099,Laihian kunta,0180451-0,KUNTA,,Laihiantie 50,66400,LAIHIA,1978-03-15,
1.2.246.562.10.25417742506,Hongon päiväkoti,Hongon päiväkoti,60,['jm01'],kj98,Linnikantie 10,38950,Honkajoki,tm01,False,0,0,0,0,0,0,1,0,0,0,False,1,0,1,,2018-04-09,,1.2.246.562.10.68169639371,Nivalan kaupunki,0186757-0,KUNTA,,KALLIONTIE 15,85500,NIVALA,1978-03-15,
1.2.246.562.10.25467760861,Irjalan päiväkoti,Irjalan päiväkoti,196,['jm01'],kj98,Pekankatu 2 A-C,33560,TAMPERE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.741151646710,Haapajärven kaupunki,0209756-3,KUNTA,,Kirkkokatu 2,85800,HAAPAJÄRVI,1978-06-30,
1.2.246.562.10.25469039264,MIELAKAN PÄIVÄKOTI,MIELAKAN PÄIVÄKOTI,150,['jm01'],kj98,MIELAKANRINTEENTIE 3,45120,KOUVOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1990-08-01,,1.2.246.562.10.91246271840,Pieksämäen kaupunki,2048903-4,KUNTA,,Kauppakatu 1,76100,PIEKSÄMÄKI,2006-07-18,
1.2.246.562.10.25511415108,Hammaslahden päiväkoti,Hammaslahden päiväkoti,42,['jm01'],kj98,Sähkötie 19,82200,Hammaslahti,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,1,0,,2018-09-10,,1.2.246.562.10.51824957248,Siikaisten kunta,0139842-8,KUNTA,,KANKAANPÄÄNTIE 1 B,29810,SIIKAINEN,1978-03-15,
1.2.246.562.10.25521619046,PÄIVÄKOTI SATUSAUNA,PÄIVÄKOTI SATUSAUNA,173,['jm01'],kj98,SILTAKATU 70,04400,JÄRVENPÄÄ,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,1990-01-01,,1.2.246.562.10.71873433412,Pertunmaan kunta,0165867-2,KUNTA,,Pertuntie 14,19430,PERTUNMAA,1978-03-15,
1.2.246.562.10.25523998760,PIENTEN KOULU KÖNÖNPELTO SUOMI,PIENTEN KOULU KÖNÖNPELTO SUOMI,20,['jm01'],kj98,KIVIPURONTIE 8-10,78500,VARKAUS,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-08-01,,1.2.246.562.10.54874899088,Joroisten kunta,0207112-8,KUNTA,,Lentoasemantie 130,79600,JOROINEN,1978-06-30,
1.2.246.562.10.25532576896,Nojanmaan päiväkoti,Nojanmaan päiväkoti,118,['jm01'],kj98,Nojanmaanlahdentie 65,57210,SAVONLINNA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2006-08-01,,1.2.246.562.10.61313333637,Pyhäjärven kaupunki,0210261-7,KUNTA,,OLLINTIE 26,86800,PYHÄSALMI,1978-06-30,
1.2.246.562.10.25540211825,Viinamäen päiväkoti,Viinamäen päiväkoti,154,['jm01'],kj98,Tommilankatu 24,20300,TURKU,tm01,True,0,0,1,0,0,0,0,0,0,0,False,1,1,0,,2004-01-01,,1.2.246.562.10.89884984132,Savukosken kunta,0210704-7,KUNTA,,Kauppakuja 2 A 1,98800,SAVUKOSKI,1978-06-30,
1.2.246.562.10.25587407344,Kaarenkylän päiväkoti,Kaarenkylän päiväkoti,45,['jm01'],kj98,Kaarenkyläntie 344,07220,KAARENKYLÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-08-01,,1.2.246.562.10.377431328810,Sipoon kunta Sibbo kommun,0203533-8,KUNTA,,Iso Kylätie 18,04130,SIPOO,1978-06-30,
1.2.246.562.10.25592594508,Kuhmalahden päiväkoti,Kuhmalahden päiväkoti,48,['jm01'],kj98,Kivisalmentie 14,36810,KUHMALAHTI,tm01,False,0,0,0,0,1,0,0,0,0,0,False,1,0,0,,2010-01-01,,1.2.246.562.10.14205792964,Hailuodon kunta,0184918-8,KUNTA,,LUOVONTIE 176,90480,HAILUOTO,1978-03-15,
1.2.246.562.10.25648759980,PK Pikkuprinssi,PK Pikkuprinssi,105,['jm01'],kj98,Maatullinkuja 12,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,1,0,0,0,0,1,1,0,False,1,0,0,,1983-09-01,,1.2.246.562.10.97078294945,Uuraisten kunta,0177224-8,KUNTA,,Virastotie 4,41230,UURAINEN,1978-03-15,
1.2.246.562.10.25672658355,LASSILAN PÄIVÄKOTI,LASSILAN PÄIVÄKOTI,32,['jm01'],kj98,KOULUTIE 2,94450,KEMINMAA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2017-08-01,,1.2.246.562.10.96884533488,Kuusamon kaupunki,0186418-5,KUNTA,,Keskuskuja 6,93600,KUUSAMO,1978-03-15,
1.2.246.562.10.25714814784,JAAKONPUISTON PÄIVÄKOTI,JAAKONPUISTON PÄIVÄKOTI,117,['jm01'],kj98,KALEVANKATU 7,45100,KOUVOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1989-10-01,,1.2.246.562.10.13451568789,Jokioisten kunta,0147645-7,KUNTA,,Keskuskatu 29 A,31600,JOKIOINEN,1978-03-15,
1.2.246.562.10.25718542118,Kyrön päiväkoti,Kyrön päiväkoti,108,['jm01'],kj98,Harjuntie 1,21800,KYRÖ,tm01,False,0,0,0,0,0,0,1,0,0,0,False,1,0,0,,2014-06-01,,1.2.246.562.10.69417312936,Pyhtään kunta,0162798-0,KUNTA,,Siltakyläntie 175,49220,SILTAKYLÄ,1978-03-15,
1.2.246.562.10.25768027846,Aapin päiväkoti,Aapin päiväkoti,178,['jm01'],kj98,Selkäsentie 2,91900,LIMINKA,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,0,0,,2017-06-01,,1.2.246.562.10.25988879703,Nurmeksen kaupunki,0207669-0,KUNTA,,KARJALANKATU 1,75500,NURMES,1978-06-30,
1.2.246.562.10.25776038173,Kertunlaakson päiväkoti,Kertunlaakson päiväkoti,128,['jm01'],kj98,Hevoskorventie 2,60510,HYLLYKALLIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-08-01,,1.2.246.562.10.73948983488,Järvenpään kaupunki,0126541-4,KUNTA,,Hallintokatu 2,04400,JÄRVENPÄÄ,1978-03-15,
1.2.246.562.10.25779566923,Sasin päiväkoti,Sasin päiväkoti,216,['jm01'],kj98,Sasintie 81,39100,HÄMEENKYRÖ,tm01,True,0,0,0,1,0,0,0,0,0,0,False,1,1,0,es,2015-06-01,,1.2.246.562.10.37301194892,Sulkavan kunta,0167265-0,KUNTA,,Kauppatie 1,58701,SULKAVA,1978-03-15,
1.2.246.562.10.25811793170,pk Leikarin päiväkoti,pk Leikarin päiväkoti,91,['jm01'],kj98,Tervamäentie 3,40950,MUURAME,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,es,2000-01-01,,1.2.246.562.10.36782028892,Punkalaitumen kunta,0138037-5,KUNTA,,VESILAHDENTIE 5,31900,PUNKALAIDUN,1978-03-15,
1.2.246.562.10.25825251314,Otsonkallion päiväkoti,Otsonkallion päiväkoti,63,['jm01'],kj98,Ristinkalliontie 14,48770,KOTKA,tm01,True,1,0,0,1,0,0,0,0,0,0,False,1,0,0,,2006-01-01,,1.2.246.562.10.95463799635,Pihtiputaan kunta,0243027-4,KUNTA,,KESKUSTIE 9,44800,PIHTIPUDAS,1978-12-17,
1.2.246.562.10.25871128192,PK Pyynikki,PK Pyynikki,49,['jm01'],kj98,Pyynikintie 5,00099,HELSINGIN KAUPUNKI,tm01,False,1,1,0,0,0,0,0,0,0,0,False,1,0,0,,1995-01-01,,1.2.246.562.10.60144737602,Viitasaaren kaupunki,0208573-0,KUNTA,,KESKITIE 10,44500,VIITASAARI,1978-06-30,
